District,State,Hispanic,White,Black,AmericanIndian,Asian,PacificIslander,Other,Multiple races,Total
1,Indiana,"108,243","450,837","130,509",828,"9,844",583,"1,140","14,511","716,495"
2,Indiana,"68,410","580,675","48,504","1,900","10,849",343,852,"13,882","725,415"
3,Indiana,"44,568","613,290","42,177","2,226","14,260",769,158,"18,416","735,864"
4,Indiana,"44,946","640,033","26,520","1,862","21,269",85,762,"12,124","747,601"
5,Indiana,"33,634","618,067","63,229",467,"24,571",63,609,"19,572","760,212"
6,Indiana,"17,612","661,955","18,783","1,694","10,112",421,595,"10,208","721,380"
7,Indiana,"80,974","406,883","216,631","2,322","22,448",0,"1,487","19,031","749,776"
8,Indiana,"16,027","653,629","28,826","1,201","6,896",0,389,"13,987","720,955"
9,Indiana,"24,680","663,513","21,096","1,575","17,143",50,"1,012","12,913","741,982"
1,Iowa,"28,650","686,402","28,499","2,441","10,272","1,294","1,070","13,260","771,888"
2,Iowa,"42,462","668,746","30,867",868,"18,050",435,"1,994","14,907","778,329"
3,Iowa,"54,484","683,018","32,698","1,997","24,442",884,216,"14,725","812,464"
4,Iowa,"48,722","672,311","12,284","3,513","15,370",408,7,"8,603","761,218"
1,Kansas,"112,958","549,876","20,796","3,626","12,362",919,691,"14,102","715,330"
2,Kansas,"47,616","590,642","30,698","10,007","11,459",61,400,"24,869","715,752"
3,Kansas,"88,598","547,130","63,876","1,642","34,175",126,85,"19,764","755,396"
4,Kansas,"87,149","536,011","52,923","5,933","24,816",274,296,"17,761","725,163"
1,Kentucky,"19,363","634,021","51,734","1,429","3,409",607,500,"12,403","723,466"
2,Kentucky,"23,266","652,961","41,385","1,768","10,428",946,866,"16,025","747,645"
3,Kentucky,"36,839","507,061","156,545","1,340","18,851",424,"1,080","20,688","742,828"
4,Kentucky,"25,177","676,382","25,749",571,"9,385",158,187,"12,840","750,449"
5,Kentucky,"7,534","679,386","10,512","1,385","2,235",240,172,"6,070","707,534"
6,Kentucky,"33,948","618,309","65,267",981,"15,070",226,"1,030","18,339","753,170"
1,Louisiana,"70,298","580,890","112,594","8,597","16,405",142,"1,789","15,425","806,140"
2,Louisiana,"49,873","227,928","473,888","1,499","23,989",0,"2,024","12,192","791,393"
3,Louisiana,"29,493","529,174","190,132","2,824","12,491",80,"1,785","16,438","782,417"
4,Louisiana,"28,158","444,504","257,420","4,402","7,546",408,"2,232","14,243","758,913"
5,Louisiana,"16,885","447,896","268,521","1,548","3,113",70,573,"7,415","746,021"
6,Louisiana,"33,871","524,584","189,276","1,955","17,021",187,"1,498","17,448","785,840"
1,Maine,"11,214","626,135","8,952","1,961","9,216",121,299,"14,111","672,009"
2,Maine,"8,938","617,867","4,902","6,529","3,870",448,124,"14,641","657,319"
1,Maryland,"27,461","580,553","84,033","1,071","16,105",163,786,"15,327","725,499"
2,Maryland,"53,748","387,116","258,806","2,137","39,666",341,"1,698","19,644","763,156"
3,Maryland,"70,567","453,320","147,393","1,311","59,918",349,"3,255","22,570","758,683"
4,Maryland,"115,185","196,899","388,400","1,379","25,861",110,"2,067","15,728","745,629"
5,Maryland,"66,011","349,965","281,826","1,223","31,729",289,"3,648","26,043","760,734"
6,Maryland,"100,739","450,495","102,141",684,"82,774",565,"2,550","21,973","761,921"
7,Maryland,"24,478","238,845","390,965","1,372","53,184",446,"2,164","17,547","729,001"
8,Maryland,"114,074","457,839","90,265","1,169","73,300",132,"4,289","20,710","761,778"
1,Massachusetts,"128,957","535,716","42,631","1,213","14,205",100,854,"12,514","736,190"
2,Massachusetts,"69,120","581,762","36,385","1,435","39,097",118,"3,893","13,076","744,886"
3,Massachusetts,"142,894","509,562","21,471",836,"65,072",0,"3,248","10,985","754,068"
